ID,AltName,Age1,R_gc,X,Y,Z,v_r,+/-,v_gr,sig_v,[Fe/H],E(B-V),V_HB,(m-M)V,V_t,"M_V,t",U-B,B-V,V-R,V-I,ellip,L,B,Mstar,rh,C5
NGC3201,Dunlop445,11.1,8.8,0.6,-4.8,0.7,494,0.2,712.604537,5,-1.59,0.24,14.76,14.2,6.75,-7.45,0.38,0.96,0.62,1.23,0.12,77.23,8.64,1.1,7.5,0.15
NGC362,Dunlop62,10,9.4,3.1,-5.1,-6.2,223.5,0.5,411.5615903,6.4,-1.26,0.05,15.44,14.83,6.4,-8.43,0.16,0.77,0.49,1.01,0.01,01.53,-46.25,2.5,3.5,0.72
NGC4147,,12.25,21.4,-1.3,-4.1,18.8,183.2,0.7,406.1600924,2.6,-1.8,0.02,17.02,16.49,10.32,-6.17,0.11,0.59,0.42,0.79,0.08,52.85,77.19,,,
NGC4372,,,7.1,2.9,-4.9,-1,72.3,1.2,264.1720974,,-2.17,0.39,15.5,15.03,7.24,-7.79,0.31,1.1,0.72,1.5,0.15,00.99,-9.88,,,
NGC4590,M68,12.7,10.2,4.1,-7.2,6,-94.7,0.2,105.2527432,2.5,-2.23,0.05,15.68,15.21,7.84,-7.37,0.04,0.63,0.46,0.94,0.05,99.63,36.05,1.07,7.7,0.14
NGC4833,Dunlop164,12.5,7,3.6,-5.4,-0.9,200.2,1.2,386.5867528,,-1.85,0.32,15.6,15.08,6.91,-8.17,0.29,0.93,0.63,1.33,0.07,03.60,-8.02,4.1,7.9,0.52
NGC5024,M53,12.7,18.4,2.8,-1.4,17.6,-62.9,0.3,47.8771226,4.4,-2.1,0.02,16.81,16.32,7.61,-8.71,0.09,0.64,0.45,0.86,0.01,32.96,79.76,8.26,11.6,0.71
NGC5053,NONE,12.3,17.8,3,-1.4,17.1,44,0.4,149.3095212,1.4,-2.27,0.01,16.69,16.23,9.47,-6.76,0.03,0.65,,0.9,0.21,35.7,78.95,1.25,22.5,0.056
NGC5139,,,6.4,3.1,-3.9,1.3,232.1,0.1,411.3916943,16.8,-1.53,0.12,14.51,13.94,3.68,-10.26,0.19,0.78,0.51,1.05,0.17,09.10,14.97,,,
NGC5272,M3,11.4,12,1.5,1.3,10,-147.6,0.2,-287.9288741,5.5,-1.5,0.01,15.64,15.07,6.19,-8.88,0.09,0.69,,0.93,0.04,42.22,78.71,4.68,11.7,0.4
NGC5286,NONE,12.5,8.9,7.6,-8.6,2.1,57.4,1.5,229.258952,8.1,-1.69,0.24,16.63,16.08,7.34,-8.74,0.28,0.88,0.58,1.19,0.12,11.61,10.57,7.13,4.2,1.69
NGC5466,NONE,13.6,16.3,3.3,3,15.3,110.7,0.2,-32.45184553,1.7,-1.98,0,16.52,16.02,9.04,-6.98,,0.67,,0.82,0.11,42.15,73.59,1.79,18.2,0.098
NGC5634,,,21.2,15.7,-5,19.1,-45.1,6.6,34.66651163,,-1.88,0.05,17.68,17.16,9.47,-7.69,0.09,0.67,0.44,0.96,0.02,42.21,49.26,,,
NGC5694,,,29.4,26.4,-14.6,17.7,-140.3,0.8,-22.05304747,5.8,-1.98,0.09,18.5,18,10.17,-7.83,0.08,0.69,0.48,0.98,0.04,31.06,30.36,,,
NGC5824,,,25.9,26.4,-13.7,12.1,-27.5,1.5,85.07647719,11.6,-1.91,0.13,18.45,17.94,9.09,-8.85,0.12,0.75,0.51,1.05,0.03,32.56,22.07,,,
NGC5897,NONE,12.3,7.4,10.3,-3.2,6.3,101.5,1,179.4129722,,-1.9,0.09,16.27,15.76,8.53,-7.23,0.08,0.74,0.5,1.04,0.08,42.95,30.29,2.11,12.7,0.17
NGC5904,M5,11.5,6.2,5.1,0.3,5.5,53.2,0.4,53.03634696,5.5,-1.29,0.03,15.07,14.46,5.65,-8.81,0.17,0.72,0.45,0.95,0.14,3.86,46.8,3.89,6.6,0.59
NGC5927,NONE,12.7,4.6,6.4,-4.2,0.7,-107.5,0.9,21.90510845,,-0.49,0.45,16.55,15.82,8.01,-7.81,0.85,1.31,0.79,1.63,0.04,26.6,4.86,3.38,4.2,0.81
NGC5946,,,5.8,8.9,-5.6,0.8,128.4,1.8,254.3071367,4,-1.29,0.54,17.4,16.79,9.61,-7.18,0.45,1.29,0.77,1.58,0.16,27.58,4.19,,,
NGC5986,NONE,12.2,4.8,9.3,-4,2.4,88.9,3.7,186.6640367,,-1.59,0.28,16.52,15.96,7.52,-8.44,0.3,0.9,0.58,1.22,0.06,37.02,13.27,5.99,5.04,1.19
NGC6093,M80,12.5,3.8,9.4,-1.2,3.3,8.1,1.5,48.54405151,12.4,-1.75,0.18,16.1,15.56,7.33,-8.23,0.21,0.84,0.56,1.11,0,52.67,19.46,5.02,3.02,1.66
NGC6101,Caldwell107,12.5,11.2,11,-10,-4.2,361.4,1.7,514.1241907,,-1.98,0.05,16.6,16.1,9.16,-6.94,0.06,0.68,0.5,,0.05,17.74,-15.82,1,8,0.13
NGC6121,M4,13.1,5.9,2.1,-0.3,0.6,70.7,0.2,114.1080897,4,-1.16,0.35,13.45,12.82,5.63,-7.19,0.43,1.03,0.69,1.42,0,50.97,15.97,1.17,4.7,0.25
NGC6139,NONE,11.6,3.6,9.6,-3,1.2,6.7,6,83.05709523,,-1.65,0.75,17.9,17.35,8.99,-8.36,0.73,1.4,0.91,1.86,0.05,42.37,6.94,3.8,4.2,0.9
NGC6144,NONE,13.8,2.7,8.5,-1.2,2.4,193.8,0.6,236.8411221,,-1.76,0.36,16.4,15.86,9.01,-6.85,0.35,0.96,0.6,1.1,0.25,51.93,15.7,1.69,7.17,0.24
NGC6171,M107,13.4,3.3,5.9,0.3,2.5,-34.1,0.3,-32.17275522,4.1,-1.02,0.33,15.7,15.05,7.93,-7.12,0.69,1.1,0.72,1.45,0.02,3.37,23.01,1.17,5.5,0.21
NGC6205,M13,11.7,8.4,2.8,4.6,4.7,-244.2,0.2,-423.6729928,7.1,-1.53,0.02,14.9,14.33,5.78,-8.55,-0.02,0.68,,0.86,0.11,59.01,40.91,7.75,5.93,1.31
NGC6218,M12,13.4,4.5,4.2,1.2,2.1,-41.4,0.2,-88.79494684,4.5,-1.37,0.19,14.6,14.01,6.7,-7.31,0.2,0.83,0.56,1.14,0.04,15.72,26.31,0.74,4.2,0.18
